"PNuid_NLidu","Name_en","Nom_fr","Latitude","Longitude","satellite_dep","wo_backbone_fibre_sans_fibre_dorsale","CTI_backbone_dorsale_BPI"
1,"Halifax","Halifax",44.648757,-63.601876,0,0,0
2,"Dartmouth","Dartmouth",44.672142,-63.562168,0,0,0
3,"Charlottetown","Charlottetown",46.242961,-63.126519,0,0,0
4,"Sydney","Sydney",46.126469,-60.176689,0,0,0
5,"Glace Bay","Glace Bay",46.192901,-59.962389,0,0,0
6,"Bedford","Bedford",44.733924,-63.653377,0,0,0
7,"Summerside","Summerside",46.393458,-63.789341,0,0,0
8,"Amherst","Amherst",45.830781,-64.209807,0,0,0
9,"New Glasgow","New Glasgow",45.587794,-62.642169,0,0,0
10,"Eastern Passage","Eastern Passage",44.615441,-63.480148,0,0,0
11,"Bridgewater","Bridgewater",44.375475,-64.522476,0,0,0
12,"Yarmouth","Yarmouth",43.83567,-66.120048,0,0,0
14,"New Waterford","New Waterford",46.247297,-60.08167,0,0,0
15,"North Sydney","North Sydney",46.204423,-60.260953,0,0,0
16,"Bible Hill","Bible Hill",45.377819,-63.251466,0,0,0
17,"Kentville","Kentville",45.086887,-64.489193,0,0,0
18,"Lower Sackville","Lower Sackville",44.76279,-63.667137,0,0,0
19,"Fall River","Fall River",44.821059,-63.611263,0,0,0
20,"Stellarton","Stellarton",45.556695,-62.663698,0,0,0
21,"Antigonish","Antigonish",45.623888,-61.994489,0,0,0
22,"Greenwood","Greenwood",44.968348,-64.932953,0,0,0
23,"New Minas","New Minas",45.067351,-64.457023,0,0,0
24,"Springhill","Springhill",45.651053,-64.056599,0,0,0
25,"Westville","Westville",45.55761,-62.711478,0,0,0
26,"Pictou","Pictou",45.680317,-62.705484,0,0,0
27,"Windsor","Windsor",44.989112,-64.137718,0,0,0
28,"Port Hawkesbury","Port Hawkesbury",45.618477,-61.360132,0,0,0
29,"Wolfville","Wolfville",45.087032,-64.355902,0,0,0
31,"Liverpool","Liverpool",44.036255,-64.718972,0,0,0
32,"Sydney River","Sydney River",46.097443,-60.226466,0,0,0
33,"Kingston","Kingston",44.98767,-64.952343,0,0,0
34,"Trenton","Trenton",45.61673,-62.632673,0,0,0
35,"Shubenacadie","Shubenacadie",45.087367,-63.406758,0,0,0
36,"Enfield","Enfield",44.951539,-63.532686,0,0,0
37,"Elmsdale","Elmsdale",44.967014,-63.504486,0,0,0
38,"Dominion","Dominion",46.211922,-60.023562,0,0,0
39,"Westmount","Westmount",46.137947,-60.218552,0,0,0
40,"Berwick","Berwick",45.045524,-64.734149,0,0,0
41,"Digby","Digby",44.619461,-65.764455,0,0,0
42,"Shelburne","Shelburne",43.762137,-65.316761,0,0,0
43,"Bras d'Or","Bras d'Or",46.247916,-60.293895,0,0,0
44,"Reserve Mines","Reserve Mines",46.183228,-60.012083,0,0,0
45,"Montague","Montague",46.166741,-62.650928,0,0,0
46,"Prospect","Prospect",44.4703,-63.7882,0,0,1
